city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Tay Ninh	27/03/2024	31.90 °C	53.0%	0.0 mm	28.8 kph	8.0
Binh Duong	27/03/2024	25.00 °C	84.0%	0.1 mm	18.0 kph	6.0
Ho Chi Minh City	28/03/2024	30.90 °C	57.0%	0.1 mm	23.8 kph	8.0
Binh Phuoc	28/03/2024	30.50 °C	62.0%	0.0 mm	22.3 kph	9.0
Dong Nai	28/03/2024	24.40 °C	89.0%	0.9 mm	13.0 kph	6.0
Ba Ria Vung Tau	28/03/2024	28.60 °C	75.0%	0.0 mm	33.8 kph	7.0
Tien Giang	28/03/2024	24.20 °C	86.0%	5.4 mm	16.6 kph	6.0
Tay Ninh	28/03/2024	31.40 °C	58.0%	1.6 mm	18.4 kph	8.0
Binh Duong	28/03/2024	24.50 °C	85.0%	11.6 mm	21.2 kph	6.0
Ho Chi Minh City	29/03/2024	30.10 °C	64.0%	0.4 mm	26.6 kph	7.0
Binh Phuoc	29/03/2024	30.00 °C	66.0%	0.2 mm	25.6 kph	8.0
Dong Nai	29/03/2024	24.50 °C	88.0%	1.9 mm	12.2 kph	6.0
Ba Ria Vung Tau	29/03/2024	28.30 °C	79.0%	0.3 mm	25.9 kph	6.0
Tien Giang	29/03/2024	26.20 °C	76.0%	1.1 mm	21.2 kph	7.0
Tay Ninh	29/03/2024	31.10 °C	59.0%	2.4 mm	23.4 kph	8.0
Binh Duong	29/03/2024	25.00 °C	84.0%	1.6 mm	18.4 kph	6.0
Ho Chi Minh City	30/03/2024	30.90 °C	61.0%	0.0 mm	25.2 kph	9.0
Binh Phuoc	30/03/2024	30.60 °C	64.0%	0.0 mm	23.8 kph	9.0
Dong Nai	30/03/2024	27.60 °C	74.0%	0.1 mm	12.2 kph	8.0
Ba Ria Vung Tau	30/03/2024	28.40 °C	79.0%	0.0 mm	25.6 kph	8.0
Tien Giang	30/03/2024	26.90 °C	77.0%	4.4 mm	22.0 kph	7.0
Tay Ninh	30/03/2024	31.50 °C	58.0%	0.2 mm	23.8 kph	8.0
Binh Duong	30/03/2024	25.20 °C	81.0%	4.1 mm	25.2 kph	6.0
Ho Chi Minh City	31/03/2024	31.10 °C	61.0%	0.5 mm	24.8 kph	9.0
Binh Phuoc	31/03/2024	30.70 °C	64.0%	0.0 mm	22.3 kph	8.0
Dong Nai	31/03/2024	29.70 °C	62.0%	0.0 mm	15.1 kph	9.0
Ba Ria Vung Tau	31/03/2024	28.60 °C	78.0%	0.0 mm	24.1 kph	8.0
Tien Giang	31/03/2024	27.80 °C	74.0%	0.1 mm	22.0 kph	8.0
Tay Ninh	31/03/2024	32.10 °C	57.0%	1.0 mm	21.2 kph	8.0
Binh Duong	31/03/2024	26.10 °C	82.0%	5.9 mm	23.8 kph	7.0
Ho Chi Minh City	01/04/2024	31.10 °C	57.0%	0.0 mm	25.6 kph	9.0
Binh Phuoc	01/04/2024	30.70 °C	59.0%	0.0 mm	23.0 kph	9.0
Dong Nai	01/04/2024	30.30 °C	56.0%	0.0 mm	13.7 kph	9.0
Ba Ria Vung Tau	01/04/2024	28.10 °C	74.0%	0.0 mm	24.1 kph	7.0
Tien Giang	01/04/2024	29.00 °C	67.0%	0.0 mm	26.3 kph	9.0
Tay Ninh	01/04/2024	32.20 °C	55.0%	1.0 mm	25.2 kph	8.0
Binh Duong	01/04/2024	27.40 °C	77.0%	0.4 mm	20.2 kph	7.0
Ho Chi Minh City	02/04/2024	30.50 °C	56.0%	0.0 mm	23.4 kph	9.0
Binh Phuoc	02/04/2024	30.10 °C	59.0%	0.0 mm	23.0 kph	9.0
Dong Nai	02/04/2024	30.30 °C	55.0%	0.0 mm	15.1 kph	9.0
Ba Ria Vung Tau	02/04/2024	27.90 °C	74.0%	0.0 mm	20.5 kph	7.0
Tien Giang	02/04/2024	29.20 °C	65.0%	0.0 mm	26.3 kph	9.0
Tay Ninh	02/04/2024	32.20 °C	54.0%	0.0 mm	21.6 kph	8.0
Binh Duong	02/04/2024	26.80 °C	79.0%	5.1 mm	26.3 kph	7.0
Ho Chi Minh City	03/04/2024	30.60 °C	60.0%	0.0 mm	22.7 kph	8.0
Binh Phuoc	03/04/2024	30.10 °C	62.0%	0.0 mm	20.5 kph	8.0
Dong Nai	03/04/2024	30.80 °C	54.0%	0.0 mm	15.8 kph	9.0
Ba Ria Vung Tau	03/04/2024	28.50 °C	75.0%	0.2 mm	23.4 kph	6.0
Tien Giang	03/04/2024	29.40 °C	68.0%	0.0 mm	24.5 kph	8.0
Tay Ninh	03/04/2024	31.80 °C	51.0%	0.0 mm	26.6 kph	9.0
Binh Duong	03/04/2024	27.70 °C	76.0%	1.3 mm	21.6 kph	7.0
Ho Chi Minh City	04/04/2024	31.60 °C	57.0%	0.1 mm	27.0 kph	9.0
Binh Phuoc	04/04/2024	31.30 °C	58.0%	0.1 mm	24.1 kph	9.0
Dong Nai	04/04/2024	30.10 °C	60.0%	0.0 mm	15.8 kph	9.0
Ba Ria Vung Tau	04/04/2024	28.80 °C	73.0%	0.2 mm	28.1 kph	6.0
Tien Giang	04/04/2024	28.60 °C	74.0%	0.1 mm	26.3 kph	8.0
Tay Ninh	04/04/2024	32.60 °C	51.0%	0.0 mm	28.1 kph	10.0
Binh Duong	04/04/2024	27.20 °C	77.0%	0.1 mm	24.8 kph	7.0
Ho Chi Minh City	05/04/2024	30.90 °C	54.0%	0.0 mm	27.7 kph	9.0
Binh Phuoc	05/04/2024	30.50 °C	55.0%	0.0 mm	25.2 kph	9.0
Dong Nai	05/04/2024	27.70 °C	73.0%	0.0 mm	16.6 kph	8.0
Ba Ria Vung Tau	05/04/2024	28.60 °C	67.0%	0.0 mm	32.4 kph	7.0
Tien Giang	05/04/2024	26.70 °C	77.0%	0.7 mm	21.2 kph	7.0
Tay Ninh	05/04/2024	32.20 °C	49.0%	0.0 mm	30.6 kph	9.0
Binh Duong	05/04/2024	26.50 °C	77.0%	0.0 mm	26.6 kph	8.0
Ho Chi Minh City	06/04/2024	31.00 °C	56.0%	0.0 mm	27.4 kph	9.0
Binh Phuoc	06/04/2024	30.50 °C	58.0%	0.0 mm	24.1 kph	9.0
Dong Nai	06/04/2024	26.50 °C	82.0%	0.0 mm	16.6 kph	7.0
Ba Ria Vung Tau	06/04/2024	28.80 °C	72.0%	0.1 mm	29.2 kph	7.0
Tien Giang	06/04/2024	26.60 °C	76.0%	0.8 mm	20.5 kph	7.0
Tay Ninh	06/04/2024	32.20 °C	48.0%	0.0 mm	29.5 kph	9.0
Binh Duong	06/04/2024	26.00 °C	76.0%	0.0 mm	25.2 kph	8.0
Ho Chi Minh City	07/04/2024	31.10 °C	59.0%	0.0 mm	26.6 kph	9.0
Binh Phuoc	07/04/2024	30.60 °C	61.0%	0.1 mm	22.7 kph	9.0
Dong Nai	07/04/2024	26.80 °C	79.0%	0.0 mm	16.6 kph	8.0
Ba Ria Vung Tau	07/04/2024	28.80 °C	74.0%	0.1 mm	31.0 kph	7.0
Tien Giang	07/04/2024	26.40 °C	81.0%	0.9 mm	19.8 kph	7.0
Tay Ninh	07/04/2024	32.00 °C	53.0%	0.0 mm	27.7 kph	8.0
Binh Duong	07/04/2024	26.10 °C	79.0%	0.6 mm	25.2 kph	7.0
Ho Chi Minh City	08/04/2024	31.10 °C	58.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	08/04/2024	30.70 °C	61.0%	0.0 mm	25.6 kph	9.0
Dong Nai	08/04/2024	25.90 °C	89.0%	3.3 mm	15.8 kph	6.0
Ba Ria Vung Tau	08/04/2024	28.60 °C	74.0%	0.0 mm	29.9 kph	8.0
Tien Giang	08/04/2024	22.80 °C	86.0%	2.5 mm	16.6 kph	5.0
Tay Ninh	08/04/2024	32.10 °C	52.0%	0.0 mm	28.8 kph	9.0
Binh Duong	08/04/2024	26.10 °C	83.0%	0.0 mm	22.0 kph	7.0
Ho Chi Minh City	09/04/2024	31.60 °C	54.0%	0.0 mm	31.7 kph	10.0
Binh Phuoc	09/04/2024	30.90 °C	58.0%	0.0 mm	29.2 kph	9.0
Dong Nai	09/04/2024	23.60 °C	95.0%	3.4 mm	9.7 kph	5.0
Ba Ria Vung Tau	09/04/2024	29.10 °C	72.0%	0.0 mm	39.2 kph	8.0
Tien Giang	09/04/2024	21.50 °C	86.0%	2.1 mm	9.4 kph	5.0
Tay Ninh	09/04/2024	32.30 °C	52.0%	0.0 mm	36.7 kph	10.0
Binh Duong	09/04/2024	25.20 °C	82.0%	0.0 mm	15.8 kph	6.0
Ho Chi Minh City	10/04/2024	31.60 °C	49.0%	0.0 mm	27.7 kph	10.0
Binh Phuoc	10/04/2024	31.20 °C	54.0%	0.0 mm	29.9 kph	9.0
Dong Nai	10/04/2024	25.00 °C	85.0%	0.4 mm	18.4 kph	6.0
Ba Ria Vung Tau	10/04/2024	29.30 °C	72.0%	0.0 mm	43.6 kph	8.0
Tien Giang	10/04/2024	24.50 °C	81.0%	0.5 mm	18.0 kph	6.0
Tay Ninh	10/04/2024	32.20 °C	49.0%	0.0 mm	34.9 kph	10.0
Binh Duong	10/04/2024	25.10 °C	80.0%	0.0 mm	18.0 kph	7.0
Ho Chi Minh City	11/04/2024	32.10 °C	50.0%	0.0 mm	29.5 kph	10.0
Binh Phuoc	11/04/2024	31.50 °C	55.0%	0.0 mm	28.1 kph	9.0
Dong Nai	11/04/2024	26.00 °C	82.0%	0.1 mm	18.0 kph	7.0
Ba Ria Vung Tau	11/04/2024	29.50 °C	73.0%	0.0 mm	40.0 kph	8.0
Tien Giang	11/04/2024	26.30 °C	80.0%	0.3 mm	23.8 kph	7.0
Tay Ninh	11/04/2024	32.50 °C	49.0%	0.0 mm	31.3 kph	10.0
Binh Duong	11/04/2024	25.70 °C	80.0%	0.0 mm	19.1 kph	7.0
Ho Chi Minh City	12/04/2024	31.40 °C	57.0%	0.0 mm	28.8 kph	9.0
Binh Phuoc	12/04/2024	30.90 °C	61.0%	0.0 mm	27.0 kph	8.0
Dong Nai	12/04/2024	26.30 °C	81.0%	0.0 mm	20.5 kph	7.0
Ba Ria Vung Tau	12/04/2024	29.20 °C	75.0%	0.2 mm	38.5 kph	7.0
Tien Giang	12/04/2024	27.40 °C	76.0%	0.9 mm	23.8 kph	7.0
Tay Ninh	12/04/2024	32.00 °C	55.0%	0.1 mm	32.4 kph	8.0
Binh Duong	12/04/2024	26.00 °C	81.0%	0.0 mm	18.7 kph	8.0
Ho Chi Minh City	13/04/2024	30.80 °C	60.0%	0.1 mm	25.9 kph	8.0
Binh Phuoc	13/04/2024	30.30 °C	62.0%	0.1 mm	23.8 kph	7.0
Dong Nai	13/04/2024	26.60 °C	79.0%	0.0 mm	17.3 kph	7.0
Ba Ria Vung Tau	13/04/2024	28.70 °C	74.0%	0.2 mm	36.0 kph	6.0
Tien Giang	13/04/2024	27.80 °C	74.0%	0.1 mm	26.3 kph	8.0
Tay Ninh	13/04/2024	32.00 °C	55.0%	0.0 mm	29.5 kph	8.0
Binh Duong	13/04/2024	25.90 °C	82.0%	0.0 mm	20.5 kph	8.0
Ho Chi Minh City	14/04/2024	31.20 °C	56.0%	0.0 mm	29.5 kph	9.0
Binh Phuoc	14/04/2024	30.70 °C	59.0%	0.0 mm	25.2 kph	9.0
Dong Nai	14/04/2024	27.10 °C	76.0%	0.0 mm	17.3 kph	8.0
Ba Ria Vung Tau	14/04/2024	29.00 °C	71.0%	0.0 mm	28.8 kph	8.0
Tien Giang	14/04/2024	27.80 °C	72.0%	3.8 mm	24.8 kph	8.0
Tay Ninh	14/04/2024	32.20 °C	52.0%	0.0 mm	33.5 kph	10.0
Binh Duong	14/04/2024	26.30 °C	80.0%	0.0 mm	24.8 kph	8.0
Ho Chi Minh City	15/04/2024	31.60 °C	58.0%	0.1 mm	27.4 kph	9.0
Binh Phuoc	15/04/2024	31.20 °C	60.0%	0.2 mm	24.1 kph	8.0
Dong Nai	15/04/2024	27.20 °C	79.0%	5.4 mm	16.9 kph	8.0
Ba Ria Vung Tau	15/04/2024	29.10 °C	75.0%	0.4 mm	33.1 kph	7.0
Tien Giang	15/04/2024	26.40 °C	75.0%	1.2 mm	25.6 kph	7.0
Tay Ninh	15/04/2024	32.60 °C	52.0%	0.0 mm	29.2 kph	10.0
Binh Duong	15/04/2024	26.60 °C	78.0%	0.0 mm	25.9 kph	8.0
Ho Chi Minh City	16/04/2024	31.50 °C	59.0%	0.2 mm	29.2 kph	9.0
Binh Phuoc	16/04/2024	31.10 °C	61.0%	0.5 mm	24.8 kph	9.0
Dong Nai	16/04/2024	27.20 °C	78.0%	0.1 mm	16.9 kph	7.0
Ba Ria Vung Tau	16/04/2024	29.10 °C	74.0%	0.1 mm	29.2 kph	7.0
Tien Giang	16/04/2024	27.40 °C	69.0%	0.2 mm	27.7 kph	7.0
Tay Ninh	16/04/2024	32.90 °C	52.0%	0.0 mm	31.0 kph	10.0
Binh Duong	16/04/2024	26.40 °C	78.0%	0.0 mm	24.1 kph	8.0
Ho Chi Minh City	17/04/2024	31.50 °C	57.0%	0.1 mm	26.3 kph	9.0
Binh Phuoc	17/04/2024	31.30 °C	58.0%	0.2 mm	22.7 kph	9.0
Dong Nai	17/04/2024	27.30 °C	79.0%	0.4 mm	18.0 kph	8.0
Ba Ria Vung Tau	17/04/2024	29.00 °C	73.0%	0.4 mm	29.2 kph	7.0
Tien Giang	17/04/2024	27.70 °C	72.0%	6.8 mm	28.8 kph	8.0
Tay Ninh	17/04/2024	32.70 °C	52.0%	0.1 mm	24.8 kph	8.0
Binh Duong	17/04/2024	27.20 °C	74.0%	0.0 mm	24.5 kph	8.0
Ho Chi Minh City	18/04/2024	31.10 °C	61.0%	0.4 mm	23.0 kph	8.0
Binh Phuoc	18/04/2024	30.90 °C	62.0%	0.2 mm	20.9 kph	8.0
Dong Nai	18/04/2024	27.50 °C	80.0%	0.1 mm	14.8 kph	7.0
Ba Ria Vung Tau	18/04/2024	29.10 °C	75.0%	1.2 mm	22.3 kph	7.0
Tien Giang	18/04/2024	28.10 °C	74.0%	0.1 mm	24.1 kph	8.0
Tay Ninh	18/04/2024	32.40 °C	53.0%	0.3 mm	27.4 kph	8.0
Binh Duong	18/04/2024	26.90 °C	77.0%	7.2 mm	25.2 kph	7.0
Ho Chi Minh City	19/04/2024	31.30 °C	59.0%	0.0 mm	25.2 kph	9.0
Binh Phuoc	19/04/2024	30.90 °C	62.0%	0.0 mm	23.8 kph	8.0
Dong Nai	19/04/2024	30.20 °C	63.0%	0.0 mm	16.2 kph	8.0
Ba Ria Vung Tau	19/04/2024	28.90 °C	75.0%	0.1 mm	23.4 kph	7.0
Tien Giang	19/04/2024	28.60 °C	75.0%	8.9 mm	24.8 kph	8.0
Tay Ninh	19/04/2024	32.70 °C	51.0%	0.0 mm	31.0 kph	10.0
Binh Duong	19/04/2024	26.50 °C	79.0%	39.1 mm	27.4 kph	7.0
Ho Chi Minh City	20/04/2024	31.40 °C	57.0%	0.1 mm	23.8 kph	8.0
Binh Phuoc	20/04/2024	30.80 °C	59.0%	0.0 mm	22.7 kph	9.0
Dong Nai	20/04/2024	32.20 °C	50.0%	0.0 mm	18.4 kph	8.0
Ba Ria Vung Tau	20/04/2024	29.40 °C	70.0%	0.1 mm	23.0 kph	7.0
Tien Giang	20/04/2024	30.20 °C	68.0%	0.4 mm	23.4 kph	8.0
Tay Ninh	20/04/2024	32.50 °C	49.0%	0.0 mm	26.6 kph	9.0
Binh Duong	20/04/2024	27.30 °C	78.0%	2.8 mm	26.3 kph	7.0
Ho Chi Minh City	21/04/2024	31.60 °C	53.0%	0.0 mm	23.8 kph	9.0
Binh Phuoc	21/04/2024	31.00 °C	57.0%	0.0 mm	23.4 kph	9.0
Dong Nai	21/04/2024	31.00 °C	56.0%	0.0 mm	11.5 kph	9.0
Ba Ria Vung Tau	21/04/2024	29.20 °C	68.0%	0.1 mm	22.7 kph	7.0
Tien Giang	21/04/2024	28.70 °C	75.0%	0.2 mm	22.3 kph	7.0
Tay Ninh	21/04/2024	32.60 °C	49.0%	0.0 mm	26.3 kph	9.0
Binh Duong	21/04/2024	28.00 °C	75.0%	0.1 mm	24.1 kph	7.0
Ho Chi Minh City	22/04/2024	31.00 °C	57.0%	0.0 mm	22.3 kph	9.0
Binh Phuoc	22/04/2024	30.60 °C	60.0%	0.0 mm	23.0 kph	9.0
Dong Nai	22/04/2024	28.40 °C	72.0%	0.0 mm	18.4 kph	8.0
Ba Ria Vung Tau	22/04/2024	28.90 °C	70.0%	0.0 mm	21.6 kph	7.0
Tien Giang	22/04/2024	28.20 °C	73.0%	1.5 mm	18.0 kph	7.0
Tay Ninh	22/04/2024	32.50 °C	51.0%	0.0 mm	25.6 kph	9.0
Binh Duong	22/04/2024	28.40 °C	70.0%	0.0 mm	19.1 kph	8.0
Ho Chi Minh City	23/04/2024	31.60 °C	55.0%	0.0 mm	23.0 kph	9.0
Binh Phuoc	23/04/2024	31.10 °C	57.0%	0.0 mm	22.0 kph	9.0
Dong Nai	23/04/2024	27.50 °C	81.0%	0.0 mm	19.1 kph	8.0
Ba Ria Vung Tau	23/04/2024	29.10 °C	72.0%	0.0 mm	21.6 kph	8.0
Tien Giang	23/04/2024	26.80 °C	84.0%	2.2 mm	14.0 kph	6.0
Tay Ninh	23/04/2024	33.10 °C	49.0%	0.0 mm	26.6 kph	10.0
Binh Duong	23/04/2024	28.70 °C	69.0%	0.0 mm	18.4 kph	8.0
Ho Chi Minh City	24/04/2024	31.70 °C	60.0%	0.1 mm	26.3 kph	8.0
Binh Phuoc	24/04/2024	31.40 °C	61.0%	0.0 mm	23.8 kph	8.0
Dong Nai	24/04/2024	27.70 °C	83.0%	0.4 mm	19.4 kph	7.0
Ba Ria Vung Tau	24/04/2024	29.60 °C	75.0%	0.2 mm	23.8 kph	7.0
Tien Giang	24/04/2024	26.00 °C	80.0%	4.9 mm	18.7 kph	7.0
Tay Ninh	24/04/2024	32.80 °C	52.0%	0.6 mm	32.0 kph	9.0
Binh Duong	24/04/2024	27.70 °C	78.0%	0.0 mm	19.1 kph	8.0
Ho Chi Minh City	25/04/2024	32.20 °C	60.0%	0.6 mm	24.8 kph	8.0
Binh Phuoc	25/04/2024	31.90 °C	62.0%	3.4 mm	23.8 kph	8.0
Dong Nai	25/04/2024	27.80 °C	83.0%	0.1 mm	15.5 kph	7.0
Ba Ria Vung Tau	25/04/2024	30.10 °C	75.0%	0.9 mm	22.0 kph	7.0
Tien Giang	25/04/2024	27.60 °C	77.0%	0.4 mm	30.2 kph	8.0
Tay Ninh	25/04/2024	33.00 °C	54.0%	0.3 mm	24.5 kph	8.0
Binh Duong	25/04/2024	28.30 °C	74.0%	0.2 mm	26.6 kph	7.0
Ho Chi Minh City	26/04/2024	32.60 °C	60.0%	0.1 mm	25.9 kph	8.0
Binh Phuoc	26/04/2024	32.30 °C	62.0%	0.1 mm	23.4 kph	8.0
Dong Nai	26/04/2024	32.30 °C	54.0%	0.0 mm	20.9 kph	10.0
Ba Ria Vung Tau	26/04/2024	30.10 °C	75.0%	0.2 mm	24.1 kph	7.0
Tien Giang	26/04/2024	29.60 °C	75.0%	0.1 mm	21.2 kph	8.0
Tay Ninh	26/04/2024	33.30 °C	56.0%	0.0 mm	28.1 kph	9.0
Binh Duong	26/04/2024	29.30 °C	67.0%	1.3 mm	21.6 kph	8.0
Ho Chi Minh City	27/04/2024	32.60 °C	57.0%	0.0 mm	24.5 kph	9.0
Binh Phuoc	27/04/2024	32.20 °C	58.0%	0.0 mm	21.2 kph	9.0
Dong Nai	27/04/2024	35.40 °C	36.0%	0.0 mm	20.2 kph	10.0
Ba Ria Vung Tau	27/04/2024	29.90 °C	73.0%	0.0 mm	20.5 kph	7.0
Tien Giang	27/04/2024	32.80 °C	55.0%	0.0 mm	23.4 kph	10.0
Tay Ninh	27/04/2024	33.50 °C	51.0%	0.0 mm	22.7 kph	10.0
Binh Duong	27/04/2024	30.10 °C	63.0%	0.0 mm	19.1 kph	9.0
Ho Chi Minh City	28/04/2024	32.40 °C	55.0%	0.0 mm	20.2 kph	9.0
Binh Phuoc	28/04/2024	32.00 °C	58.0%	0.0 mm	22.7 kph	9.0
Dong Nai	28/04/2024	34.10 °C	40.0%	0.0 mm	14.8 kph	10.0
Ba Ria Vung Tau	28/04/2024	30.00 °C	70.0%	0.1 mm	19.4 kph	7.0
Tien Giang	28/04/2024	31.80 °C	59.0%	0.0 mm	23.8 kph	10.0
Tay Ninh	28/04/2024	33.90 °C	48.0%	0.3 mm	27.0 kph	10.0
Binh Duong	28/04/2024	29.20 °C	67.0%	0.0 mm	22.7 kph	8.0
Ho Chi Minh City	29/04/2024	32.90 °C	55.0%	0.0 mm	25.9 kph	10.0
Binh Phuoc	29/04/2024	32.40 °C	56.0%	0.0 mm	23.8 kph	9.0
Dong Nai	29/04/2024	33.80 °C	45.0%	0.0 mm	18.4 kph	10.0
Ba Ria Vung Tau	29/04/2024	30.20 °C	69.0%	0.0 mm	26.6 kph	8.0
Tien Giang	29/04/2024	31.60 °C	66.0%	0.0 mm	27.7 kph	9.0
Tay Ninh	29/04/2024	34.10 °C	46.0%	0.0 mm	28.4 kph	10.0
Binh Duong	29/04/2024	29.10 °C	66.0%	0.0 mm	18.7 kph	8.0
Ho Chi Minh City	30/04/2024	32.40 °C	59.0%	0.3 mm	21.6 kph	8.0
Binh Phuoc	30/04/2024	31.80 °C	61.0%	0.3 mm	18.0 kph	8.0
Dong Nai	30/04/2024	35.30 °C	38.0%	0.0 mm	20.5 kph	10.0
Ba Ria Vung Tau	30/04/2024	30.80 °C	73.0%	0.7 mm	24.1 kph	7.0
Tien Giang	30/04/2024	32.50 °C	58.0%	0.1 mm	25.9 kph	9.0
Tay Ninh	30/04/2024	33.50 °C	54.0%	0.0 mm	27.0 kph	9.0
Binh Duong	30/04/2024	29.30 °C	66.0%	0.0 mm	25.2 kph	9.0
Ho Chi Minh City	01/05/2024	32.40 °C	60.0%	0.7 mm	21.2 kph	8.0
Binh Phuoc	01/05/2024	32.20 °C	61.0%	0.3 mm	20.5 kph	8.0
Dong Nai	01/05/2024	29.50 °C	67.0%	0.3 mm	25.6 kph	7.0
Ba Ria Vung Tau	01/05/2024	30.60 °C	71.0%	0.7 mm	24.1 kph	7.0
Tien Giang	01/05/2024	26.70 °C	71.0%	6.7 mm	21.6 kph	6.0
Tay Ninh	01/05/2024	34.00 °C	50.0%	0.1 mm	25.2 kph	9.0
Binh Duong	01/05/2024	29.80 °C	65.0%	0.5 mm	20.9 kph	8.0
Ho Chi Minh City	02/05/2024	32.70 °C	57.0%	0.3 mm	24.5 kph	8.0
Binh Phuoc	02/05/2024	32.30 °C	59.0%	0.1 mm	23.0 kph	9.0
Dong Nai	02/05/2024	28.70 °C	83.0%	3.1 mm	20.5 kph	7.0
Ba Ria Vung Tau	02/05/2024	30.50 °C	72.0%	0.3 mm	24.1 kph	7.0
Tien Giang	02/05/2024	24.40 °C	85.0%	11.6 mm	9.7 kph	6.0
Tay Ninh	02/05/2024	33.20 °C	52.0%	2.8 mm	24.1 kph	8.0
Binh Duong	02/05/2024	26.80 °C	81.0%	14.1 mm	21.2 kph	7.0
Ho Chi Minh City	03/05/2024	32.90 °C	55.0%	0.5 mm	27.7 kph	8.0
Binh Phuoc	03/05/2024	32.40 °C	59.0%	1.9 mm	25.6 kph	8.0
Dong Nai	03/05/2024	26.80 °C	88.0%	11.3 mm	18.4 kph	7.0
Ba Ria Vung Tau	03/05/2024	30.50 °C	71.0%	1.1 mm	25.6 kph	7.0
Tien Giang	03/05/2024	26.70 °C	86.0%	23.1 mm	22.3 kph	7.0
Tay Ninh	03/05/2024	32.70 °C	56.0%	10.9 mm	24.5 kph	8.0
Binh Duong	03/05/2024	26.60 °C	81.0%	1.8 mm	25.6 kph	7.0
Ho Chi Minh City	04/05/2024	31.80 °C	61.0%	6.9 mm	21.2 kph	8.0
Binh Phuoc	04/05/2024	31.80 °C	61.0%	7.7 mm	21.6 kph	8.0
Dong Nai	04/05/2024	28.50 °C	78.0%	11.8 mm	23.8 kph	7.0
Ba Ria Vung Tau	04/05/2024	30.10 °C	72.0%	5.6 mm	23.0 kph	7.0
Tien Giang	04/05/2024	26.60 °C	83.0%	5.2 mm	22.3 kph	7.0
Tay Ninh	04/05/2024	31.70 °C	60.0%	7.1 mm	23.4 kph	8.0
Binh Duong	04/05/2024	26.60 °C	82.0%	1.2 mm	20.2 kph	7.0
Ho Chi Minh City	05/05/2024	30.50 °C	67.0%	37.5 mm	17.3 kph	8.0
Binh Phuoc	05/05/2024	30.40 °C	68.0%	12.4 mm	16.9 kph	8.0
Dong Nai	05/05/2024	28.50 °C	78.0%	0.8 mm	18.4 kph	7.0
Ba Ria Vung Tau	05/05/2024	29.80 °C	72.0%	11.6 mm	21.6 kph	7.0
Tien Giang	05/05/2024	27.40 °C	83.0%	9.5 mm	23.8 kph	7.0
Tay Ninh	05/05/2024	30.20 °C	66.0%	62.6 mm	28.8 kph	8.0
Binh Duong	05/05/2024	27.00 °C	81.0%	0.2 mm	18.4 kph	7.0
Ho Chi Minh City	06/05/2024	31.10 °C	59.0%	0.0 mm	23.0 kph	9.0
Binh Phuoc	06/05/2024	31.10 °C	58.0%	0.0 mm	20.5 kph	9.0
Dong Nai	06/05/2024	27.60 °C	84.0%	0.8 mm	15.1 kph	7.0
Ba Ria Vung Tau	06/05/2024	29.60 °C	68.0%	0.1 mm	22.3 kph	7.0
Tien Giang	06/05/2024	27.70 °C	82.0%	9.1 mm	20.5 kph	7.0
Tay Ninh	06/05/2024	30.80 °C	60.0%	0.0 mm	18.7 kph	8.0
Binh Duong	06/05/2024	26.90 °C	80.0%	0.1 mm	21.6 kph	7.0
Ho Chi Minh City	07/05/2024	31.70 °C	59.0%	6.0 mm	21.6 kph	8.0
Binh Phuoc	07/05/2024	31.10 °C	62.0%	10.6 mm	21.6 kph	8.0
Dong Nai	07/05/2024	27.70 °C	80.0%	0.1 mm	20.9 kph	7.0
Ba Ria Vung Tau	07/05/2024	30.00 °C	72.0%	2.3 mm	25.9 kph	7.0
Tien Giang	07/05/2024	27.40 °C	82.0%	1.9 mm	15.1 kph	7.0
Tay Ninh	07/05/2024	31.70 °C	56.0%	2.0 mm	18.7 kph	8.0
Binh Duong	07/05/2024	26.70 °C	83.0%	0.1 mm	22.0 kph	7.0
Ho Chi Minh City	08/05/2024	32.50 °C	57.0%	1.9 mm	26.3 kph	8.0
Binh Phuoc	08/05/2024	32.00 °C	60.0%	6.2 mm	25.9 kph	8.0
Dong Nai	08/05/2024	27.20 °C	81.0%	0.0 mm	18.7 kph	8.0
Ba Ria Vung Tau	08/05/2024	30.70 °C	71.0%	1.6 mm	33.5 kph	7.0
Tien Giang	08/05/2024	27.90 °C	75.0%	1.9 mm	19.8 kph	7.0
Tay Ninh	08/05/2024	32.00 °C	59.0%	16.9 mm	24.5 kph	8.0
Binh Duong	08/05/2024	26.70 °C	82.0%	0.3 mm	18.4 kph	6.0
Ho Chi Minh City	09/05/2024	31.40 °C	61.0%	3.9 mm	22.7 kph	8.0
Binh Phuoc	09/05/2024	31.50 °C	62.0%	6.3 mm	23.0 kph	8.0
Dong Nai	09/05/2024	26.70 °C	81.0%	1.5 mm	15.5 kph	7.0
Ba Ria Vung Tau	09/05/2024	30.40 °C	72.0%	3.0 mm	33.8 kph	7.0
Tien Giang	09/05/2024	26.20 °C	83.0%	8.3 mm	16.9 kph	6.0
Tay Ninh	09/05/2024	30.70 °C	65.0%	10.8 mm	31.7 kph	7.0
Binh Duong	09/05/2024	26.70 °C	80.0%	0.1 mm	19.4 kph	8.0
Ho Chi Minh City	10/05/2024	31.60 °C	61.0%	0.1 mm	24.5 kph	9.0
